Ticket #,Customer Complaint,Date,Date_month_year,Time,Received Via,City,State,Zip code,Status,Filing on Behalf of Someone,Hour
354116,disney,20-06-2015,20-Jun-15,1900-01-01 17:03:09,Internet,Alpharetta,Georgia,30022,Solved,No,17.0
371829,no service,29-06-2015,29-Jun-15,1900-01-01 11:23:38,Internet,Alpharetta,Georgia,30005,Closed,No,11.0
373874,disney,30-06-2015,30-Jun-15,1900-01-01 00:24:57,Customer Care Call,Alvin,Texas,77511,Solved,No,0.0
348923,disney blocking directv signals,18-06-2015,18-Jun-15,1900-01-01 13:50:02,Customer Care Call,Ambridge,Pennsylvania,15003,Open,No,13.0
302574,pmts,21-05-2015,21-May-15,1900-01-01 20:53:29,Internet,Amesbury,Massachusetts,1913,Open,No,20.0
343346,slow internet speed,16-06-2015,16-Jun-15,1900-01-01 13:45:58,Internet,Amherst,New Hampshire,3031,Open,No,13.0
286768,not getting what i am paying for with internet,05-12-2015,5-Dec-15,1900-01-01 21:06:01,Customer Care Call,Andover,Minnesota,55304,Solved,No,21.0
223179,disney bandwidth every evening drops to 10% of what is promised to our business,04-08-2015,4-Aug-15,1900-01-01 01:04:24,Internet,Angels Camp,California,95222,Closed,No,1.0
235980,isp dishonest about speeds,14-04-2015,14-Apr-15,1900-01-01 20:57:50,Customer Care Call,Angels Camp,California,95222,Closed,No,20.0
236469,deceptive sales- change in billing amount etc.,15-04-2015,15-Apr-15,1900-01-01 10:16:14,Internet,Ann Arbor,Michigan,48104,Closed,No,10.0
288602,disney billing dispute,13-05-2015,13-May-15,1900-01-01 18:20:32,Internet,Ann Arbor,Michigan,48105,Closed,No,18.0
309379,disney,27-05-2015,27-May-15,1900-01-01 13:50:37,Internet,Ann Arbor,Michigan,48105,Solved,No,13.0
351079,disney billing and service issues,19-06-2015,19-Jun-15,1900-01-01 09:19:46,Internet,Ann Arbor,Michigan,48105,Solved,No,9.0
366705,cable prices rising,25-06-2015,25-Jun-15,1900-01-01 18:17:58,Internet,Ann Arbor,Michigan,48103,Solved,No,18.0
368705,service issues,26-06-2015,26-Jun-15,1900-01-01 15:56:18,Internet,Annapolis,Maryland,21401,Solved,No,15.0
347369,hbo go on playstation 4,17-06-2015,17-Jun-15,1900-01-01 20:41:23,Internet,Annville,Pennsylvania,17003,Solved,No,20.0
291784,internet connectivity,15-05-2015,15-May-15,1900-01-01 13:07:11,Customer Care Call,Anoka,Minnesota,55303,Solved,No,13.0
308478,email issues,26-05-2015,26-May-15,1900-01-01 21:45:02,Customer Care Call,Antioch,California,94509,Solved,No,21.0
309851,monopoly,27-05-2015,27-May-15,1900-01-01 16:24:46,Internet,Antioch,Tennessee,37013,Solved,No,16.0
367342,complaint against xfinity/disney,26-06-2015,26-Jun-15,1900-01-01 02:38:50,Internet,Aptos,California,95003,Closed,No,2.0
227209,disney credit after cancellation has not been received after more than a year,04-09-2015,4-Sep-15,1900-01-01 16:40:05,Customer Care Call,Arlington,Virginia,22202,Closed,No,16.0
266376,disney false promises,30-04-2015,30-Apr-15,1900-01-01 13:06:52,Internet,Arlington,Virginia,22206,Closed,No,13.0
325273,disney blocking udp port 443,06-05-2015,6-May-15,1900-01-01 13:02:10,Customer Care Call,Arlington,Virginia,22206,Closed,Yes,13.0
342435,issues with disney,15-06-2015,15-Jun-15,1900-01-01 22:39:15,Internet,Arlington,Virginia,22206,Solved,No,22.0
348514,disney refuses to schedule a future service stoppage,18-06-2015,18-Jun-15,1900-01-01 12:02:57,Internet,Arlington,Virginia,22204,Solved,No,12.0
352100,disney,19-06-2015,19-Jun-15,1900-01-01 14:36:57,Internet,Arlington,Virginia,22206,Open,No,14.0
355887,overbilling,22-06-2015,22-Jun-15,1900-01-01 13:45:40,Customer Care Call,Arlington,Virginia,22207,Solved,Yes,13.0
363869,spotty disney service,25-06-2015,25-Jun-15,1900-01-01 08:03:27,Customer Care Call,Arlington,Virginia,22202,Solved,No,8.0
369398,without service despite willingness to pay,26-06-2015,26-Jun-15,1900-01-01 21:09:12,Customer Care Call,Arlington,Virginia,22204,Open,No,21.0
226231,issues with xfinity/disney,04-09-2015,4-Sep-15,1900-01-01 12:24:32,Customer Care Call,Arlington Heights,Illinois,60004,Closed,No,12.0
241880,cable modem rent for internet access,17-04-2015,17-Apr-15,1900-01-01 15:48:16,Internet,Arlington Heights,Illinois,60004,Closed,No,15.0
360187,disney/xfinity,23-06-2015,23-Jun-15,1900-01-01 21:27:28,Customer Care Call,Arvada,Colorado,80004,Solved,No,21.0
223960,speed issues,04-08-2015,4-Aug-15,1900-01-01 12:53:45,Internet,Ashland,Virginia,23005,Closed,No,12.0
355934,at&t,22-06-2015,22-Jun-15,1900-01-01 13:58:04,Customer Care Call,Athens,Tennessee,37303,Solved,No,13.0
211976,fraudulent claims reported to collections agency,04-01-2015,4-Jan-15,1900-01-01 13:26:53,Customer Care Call,Atlanta,Georgia,30312,Closed,No,13.0
243998,disney using a data cap to take however much money they like,19-04-2015,19-Apr-15,1900-01-01 22:49:13,Internet,Atlanta,Georgia,30097,Closed,No,22.0
265755,disney data cap,30-04-2015,30-Apr-15,1900-01-01 08:50:19,Customer Care Call,Atlanta,Georgia,30339,Closed,No,8.0
230907,speed of service,04-11-2015,4-Nov-15,1900-01-01 20:30:03,Customer Care Call,Atlanta,Georgia,30319,Closed,No,20.0
231273,disney's monopolistic practices and data capping,04-12-2015,4-Dec-15,1900-01-01 15:22:03,Internet,Atlanta,Georgia,30315,Closed,No,15.0
231377,disney billing problem,04-12-2015,4-Dec-15,1900-01-01 18:18:10,Internet,Atlanta,Georgia,30308,Closed,No,18.0
252681,disney needs competition,23-04-2015,23-Apr-15,1900-01-01 14:26:10,Customer Care Call,Atlanta,Georgia,30315,Closed,No,14.0
268101,disney services/billing issues,05-01-2015,5-Jan-15,1900-01-01 10:00:59,Customer Care Call,Atlanta,Georgia,30316,Solved,No,10.0
269066,incorrect bill,05-01-2015,5-Jan-15,1900-01-01 15:43:37,Customer Care Call,Atlanta,Georgia,30317,Solved,No,15.0
273420,legality of data caps,05-05-2015,5-May-15,1900-01-01 11:58:26,Internet,Atlanta,Georgia,30315,Closed,No,11.0
278509,data caps,05-07-2015,5-Jul-15,1900-01-01 14:55:45,Internet,Atlanta,Georgia,30363,Open,No,14.0
279656,disney added service after i declined it,05-08-2015,5-Aug-15,1900-01-01 08:47:45,Internet,Atlanta,Georgia,30345,Solved,No,8.0
288771,disney misled with overage policy,13-05-2015,13-May-15,1900-01-01 19:55:53,Internet,Atlanta,Georgia,30317,Open,No,19.0
293512,cable service and telephone connect not complete,16-05-2015,16-May-15,1900-01-01 16:29:33,Customer Care Call,Atlanta,Georgia,30311,Solved,Yes,16.0
297104,disney data cap,19-05-2015,19-May-15,1900-01-01 13:51:11,Customer Care Call,Atlanta,Georgia,30305,Solved,No,13.0
303412,disney won't cancel my service,22-05-2015,22-May-15,1900-01-01 13:09:51,Customer Care Call,Atlanta,Georgia,30318,Solved,No,13.0
304450,data caps,23-05-2015,23-May-15,1900-01-01 00:05:55,Internet,Atlanta,Georgia,30318,Open,No,0.0
305137,disney disconnecting service before due date,23-05-2015,23-May-15,1900-01-01 23:34:43,Internet,Atlanta,Georgia,30324,Open,No,23.0
305982,disney data cap,25-05-2015,25-May-15,1900-01-01 15:34:56,Internet,Atlanta,Georgia,30309,Open,No,15.0
307799,disney,26-05-2015,26-May-15,1900-01-01 16:29:57,Customer Care Call,Atlanta,Georgia,30318,Solved,No,16.0
308171,unbelievable treatment,26-05-2015,26-May-15,1900-01-01 18:40:25,Customer Care Call,Atlanta,Georgia,30310,Solved,No,18.0
312746,denial of disney business (phone and internet) service to my dental practice,28-05-2015,28-May-15,1900-01-01 22:35:40,Customer Care Call,Atlanta,Georgia,30324,Solved,No,22.0
311725,disney's terrible service - how are they still in business?,28-05-2015,28-May-15,1900-01-01 14:46:47,Internet,Atlanta,Georgia,30309,Solved,No,14.0
313949,they are forcing me for my bank account information by suspending my services for no reason (i also feel like they are committing corporate theft).,29-05-2015,29-May-15,1900-01-01 15:56:01,Internet,Atlanta,Georgia,30314,Solved,No,15.0
315173,disney discontinuation of service issue,30-05-2015,30-May-15,1900-01-01 15:27:41,Customer Care Call,Atlanta,Georgia,30312,Open,No,15.0
317945,disney customer service,06-01-2015,6-Jan-15,1900-01-01 21:32:46,Customer Care Call,Atlanta,Georgia,30329,Closed,No,21.0
318301,disney,06-02-2015,6-Feb-15,1900-01-01 10:06:22,Customer Care Call,Atlanta,Georgia,30315,Closed,No,10.0
322882,disney won't quit charging me for modem rental,06-04-2015,6-Apr-15,1900-01-01 10:58:18,Internet,Atlanta,Georgia,30317,Solved,No,10.0
323473,disney download caps,06-04-2015,6-Apr-15,1900-01-01 14:18:03,Internet,Atlanta,Georgia,30345,Solved,No,14.0
325596,horrible disney customer service,06-05-2015,6-May-15,1900-01-01 14:46:43,Customer Care Call,Atlanta,Georgia,30339,Solved,No,14.0
327291,data cap,06-07-2015,6-Jul-15,1900-01-01 10:01:52,Internet,Atlanta,Georgia,30309,Solved,No,10.0
334035,bad customer service,06-10-2015,6-Oct-15,1900-01-01 22:24:00,Internet,Atlanta,Georgia,30331,Solved,No,22.0
340637,disconnection of service,15-06-2015,15-Jun-15,1900-01-01 10:56:55,Customer Care Call,Atlanta,Georgia,30306,Solved,No,10.0
341535,disney data usage charges,15-06-2015,15-Jun-15,1900-01-01 15:39:09,Customer Care Call,Atlanta,Georgia,30309,Open,No,15.0
350016,disney refuses service to my address,18-06-2015,18-Jun-15,1900-01-01 16:45:38,Customer Care Call,Atlanta,Georgia,30318,Solved,No,16.0
349567,disney will not let me discuss my bill or service with a representative,18-06-2015,18-Jun-15,1900-01-01 15:36:45,Customer Care Call,Atlanta,Georgia,30324,Solved,No,15.0
349716,disney billing frauds,18-06-2015,18-Jun-15,1900-01-01 15:53:05,Internet,Atlanta,Georgia,30328,Solved,No,15.0
354254,disney tv/internet hookup,20-06-2015,20-Jun-15,1900-01-01 19:16:33,Internet,Atlanta,Georgia,30341,Solved,No,19.0
355121,no service for 5+ days,22-06-2015,22-Jun-15,1900-01-01 09:05:33,Internet,Atlanta,Georgia,30341,Solved,No,9.0
357856,disney - billing,23-06-2015,23-Jun-15,1900-01-01 11:35:54,Customer Care Call,Atlanta,Georgia,30363,Open,No,11.0
359719,disney internet,23-06-2015,23-Jun-15,1900-01-01 18:27:47,Customer Care Call,Atlanta,Georgia,30307,Solved,No,18.0
359260,disney speed integrity,23-06-2015,23-Jun-15,1900-01-01 16:30:18,Customer Care Call,Atlanta,Georgia,30308,Pending,No,16.0
358601,data cap,23-06-2015,23-Jun-15,1900-01-01 14:21:23,Internet,Atlanta,Georgia,30306,Pending,No,14.0
362076,disney atlanta data caps,24-06-2015,24-Jun-15,1900-01-01 14:13:31,Internet,Atlanta,Georgia,30306,Pending,No,14.0
362097,disney atlanta data caps,24-06-2015,24-Jun-15,1900-01-01 14:18:32,Internet,Atlanta,Georgia,30324,Pending,No,14.0
363616,disney poor customer service,24-06-2015,24-Jun-15,1900-01-01 22:28:58,Internet,Atlanta,Georgia,30345,Open,No,22.0
361720,overage on 300gb data plan with disney,24-06-2015,24-Jun-15,1900-01-01 12:39:59,Customer Care Call,Atlanta,Georgia,30306,Solved,No,12.0
362223,disney bill,24-06-2015,24-Jun-15,1900-01-01 14:43:13,Customer Care Call,Atlanta,Georgia,30316,Solved,No,14.0
363102,disney data cap,24-06-2015,24-Jun-15,1900-01-01 18:24:57,Customer Care Call,Atlanta,Georgia,30328,Pending,No,18.0
363235,unfair billing practices,24-06-2015,24-Jun-15,1900-01-01 19:12:16,Internet,Atlanta,Georgia,30307,Solved,No,19.0
363424,disney data caps,24-06-2015,24-Jun-15,1900-01-01 20:42:06,Customer Care Call,Atlanta,Georgia,30327,Solved,No,20.0
365321,disney refusing to honor internet rate,25-06-2015,25-Jun-15,1900-01-01 14:08:35,Internet,Atlanta,Georgia,30324,Solved,No,14.0
363860,speed,25-06-2015,25-Jun-15,1900-01-01 07:33:58,Internet,Atlanta,Georgia,30316,Open,No,7.0
368838,not acceptable internet additional charge.,26-06-2015,26-Jun-15,1900-01-01 16:42:51,Customer Care Call,Atlanta,Georgia,30339,Solved,No,16.0
367718,disney internet and cable service,26-06-2015,26-Jun-15,1900-01-01 11:02:54,Customer Care Call,Atlanta,Georgia,30316,Open,Yes,11.0
372331,disney data caps,29-06-2015,29-Jun-15,1900-01-01 13:49:15,Internet,Atlanta,Georgia,30324,Pending,Yes,13.0
373205,disney: xfinity slamming,29-06-2015,29-Jun-15,1900-01-01 17:41:37,Internet,Atlanta,Georgia,30315,Closed,No,17.0
375377,disney support unable to provide accurate information,30-06-2015,30-Jun-15,1900-01-01 16:17:34,Internet,Atlanta,Georgia,30328,Open,No,16.0
373977,disney data usage limits,30-06-2015,30-Jun-15,1900-01-01 08:14:37,Internet,Atlanta,Georgia,30342,Pending,No,8.0
344456,repeated erroneous modem rental charge,16-06-2015,16-Jun-15,1900-01-01 20:17:10,Customer Care Call,Atlanta,Georgia,30308,Solved,No,20.0
374159,xfinity pricing,30-06-2015,30-Jun-15,1900-01-01 10:33:18,Customer Care Call,Atlantic Beach,Florida,32233,Solved,No,10.0
359224,disney monopoly,23-06-2015,23-Jun-15,1900-01-01 16:22:19,Internet,Attalla,Alabama,35954,Solved,No,16.0
274956,internet connection both upload and download speeds,05-05-2015,5-May-15,1900-01-01 19:34:03,Customer Care Call,Attica,Indiana,47918,Open,No,19.0
338651,internet availability,13-06-2015,13-Jun-15,1900-01-01 01:07:20,Internet,Attica,Michigan,48412,Open,No,1.0
221984,complaint against disney,04-07-2015,4-Jul-15,1900-01-01 14:43:14,Internet,Auburn,Pennsylvania,17922,Closed,No,14.0
346885,disney,17-06-2015,17-Jun-15,1900-01-01 18:17:59,Internet,Auburn,Washington,98092,Open,No,18.0
359070,disney (xfinity) monopolistic billing practices,23-06-2015,23-Jun-15,1900-01-01 15:49:46,Internet,Auburn,Washington,98092,Closed,No,15.0
372769,internet throttling,29-06-2015,29-Jun-15,1900-01-01 15:47:44,Internet,Auburn,Washington,98092,Solved,No,15.0
311239,data usage overage,28-05-2015,28-May-15,1900-01-01 12:16:01,Internet,Augusta,Georgia,30907,Solved,Yes,12.0
339371,double billing after change of service,13-06-2015,13-Jun-15,1900-01-01 17:24:59,Internet,Augusta,Georgia,30904,Solved,Yes,17.0
360222,bandwidth caps becoming excessive,23-06-2015,23-Jun-15,1900-01-01 21:36:55,Internet,Augusta,Georgia,30907,Solved,No,21.0
370518,disney data limits,27-06-2015,27-Jun-15,1900-01-01 20:32:23,Customer Care Call,Augusta,Georgia,30904,Solved,Yes,20.0
335988,unable to cancel xfinity home security,06-11-2015,6-Nov-15,1900-01-01 21:11:33,Customer Care Call,Aurora,Colorado,80012,Solved,No,21.0
361604,disney trying to setup stuff we didn't order,24-06-2015,24-Jun-15,1900-01-01 12:16:47,Customer Care Call,Aurora,Colorado,80011,Solved,No,12.0
369583,terrible waiting times,27-06-2015,27-Jun-15,1900-01-01 01:21:11,Internet,Aurora,Colorado,80014,Solved,Yes,1.0
342399,incorrect prices for new customers,15-06-2015,15-Jun-15,1900-01-01 21:50:41,Customer Care Call,Aurora,Illinois,60503,Open,No,21.0
359858,disney is throttling my internet,23-06-2015,23-Jun-15,1900-01-01 19:16:40,Customer Care Call,Aurora,Illinois,60503,Pending,No,19.0
363993,internet pricing,25-06-2015,25-Jun-15,1900-01-01 09:30:43,Customer Care Call,Aurora,Illinois,60502,Open,No,9.0
223256,misc. charges,04-08-2015,4-Aug-15,1900-01-01 07:51:06,Customer Care Call,Austell,Georgia,30106,Closed,No,7.0
375093,comast data cap,30-06-2015,30-Jun-15,1900-01-01 15:07:14,Customer Care Call,Austell,Georgia,30168,Pending,No,15.0
347937,disney throttles internet,18-06-2015,18-Jun-15,1900-01-01 09:15:45,Customer Care Call,Austin,Texas,78731,Open,No,9.0
360286,throttling,23-06-2015,23-Jun-15,1900-01-01 22:07:17,Internet,Avon,Colorado,81620,Pending,Yes,22.0
279378,forced bundling of internet service with catv,05-07-2015,5-Jul-15,1900-01-01 21:16:13,Customer Care Call,Ayer,Massachusetts,1432,Open,No,21.0
301854,disney internet,21-05-2015,21-May-15,1900-01-01 16:31:00,Customer Care Call,Baden,Pennsylvania,15005,Closed,Yes,16.0
306805,failure to deliver service,26-05-2015,26-May-15,1900-01-01 11:29:54,Customer Care Call,Bainbridge Island,Washington,98110,Solved,No,11.0
373653,disney hbo go ps4 app,29-06-2015,29-Jun-15,1900-01-01 20:40:56,Customer Care Call,Bainbridge Island,Washington,98110,Pending,No,20.0
304583,disney's refusal to recognize written notice of termination of service,23-05-2015,23-May-15,1900-01-01 10:37:56,Customer Care Call,Bala Cynwyd,Pennsylvania,19004,Solved,No,10.0
324795,rates,06-05-2015,6-May-15,1900-01-01 09:59:39,Internet,Bala Cynwyd,Pennsylvania,19004,Closed,No,9.0
348338,termination fee,18-06-2015,18-Jun-15,1900-01-01 11:14:49,Internet,Ballston Lake,New York,12019,Solved,No,11.0
241422,disney internet/cable,17-04-2015,17-Apr-15,1900-01-01 13:21:20,Internet,Baltimore,Maryland,21224,Closed,No,13.0
252368,i am being charge double for my cable bill.,23-04-2015,23-Apr-15,1900-01-01 12:56:29,Customer Care Call,Baltimore,Maryland,21207,Open,No,12.0
259003,repeated disney billing issues,27-04-2015,27-Apr-15,1900-01-01 13:35:21,Customer Care Call,Baltimore,Maryland,21239,Closed,No,13.0
312881,unauthorized disney username setup,29-05-2015,29-May-15,1900-01-01 06:31:23,Customer Care Call,Baltimore,Maryland,21206,Open,No,6.0
319505,services turned off in retaliation for complaints,06-02-2015,6-Feb-15,1900-01-01 17:14:14,Customer Care Call,Baltimore,Maryland,21218,Closed,No,17.0
342923,disney does not disclose the internet speed i'm paying for anywhere on my bill or online,16-06-2015,16-Jun-15,1900-01-01 11:17:13,Customer Care Call,Baltimore,Maryland,21218,Open,No,11.0
343096,internet speeds disclosure on bill,16-06-2015,16-Jun-15,1900-01-01 12:11:39,Internet,Baltimore,Maryland,21218,Solved,No,12.0
343625,internet speed not disclosed,16-06-2015,16-Jun-15,1900-01-01 15:09:53,Customer Care Call,Baltimore,Maryland,21237,Solved,No,15.0
348974,intermittent service,18-06-2015,18-Jun-15,1900-01-01 14:04:40,Customer Care Call,Baltimore,Maryland,21209,Solved,No,14.0
356080,disney billing practices,22-06-2015,22-Jun-15,1900-01-01 14:31:19,Internet,Baltimore,Maryland,21218,Solved,No,14.0
360196,monopoly,23-06-2015,23-Jun-15,1900-01-01 21:28:56,Internet,Baltimore,Maryland,21225,Solved,No,21.0
358485,consistently slow and throttled internet speeds,23-06-2015,23-Jun-15,1900-01-01 13:56:14,Internet,Baltimore,Maryland,21217,Pending,No,13.0
360378,paying for high speed internet with disney. consistently getting slow service.,23-06-2015,23-Jun-15,1900-01-01 22:37:16,Internet,Baltimore,Maryland,21202,Open,No,22.0
357904,disney monopoly on packages is costing me more money for same service,23-06-2015,23-Jun-15,1900-01-01 11:49:09,Customer Care Call,Baltimore,Maryland,21212,Solved,No,11.0
364840,disney high speed internet monopoly,25-06-2015,25-Jun-15,1900-01-01 12:58:48,Internet,Baltimore,Maryland,21224,Solved,No,12.0
368793,disney cable in maryland,26-06-2015,26-Jun-15,1900-01-01 16:25:27,Customer Care Call,Baltimore,Maryland,21222,Solved,No,16.0
370296,billing dispute & poor customer service,27-06-2015,27-Jun-15,1900-01-01 17:21:39,Internet,Baltimore,Maryland,21239,Closed,No,17.0
373716,disney change contract,29-06-2015,29-Jun-15,1900-01-01 21:27:12,Customer Care Call,Baltimore,Maryland,21239,Solved,Yes,21.0
360325,disney throttle,23-06-2015,23-Jun-15,1900-01-01 22:16:47,Customer Care Call,Bargersville,Indiana,46106,Pending,No,22.0
249688,xfinity wifi access,22-04-2015,22-Apr-15,1900-01-01 10:53:59,Internet,Barnegat,New Jersey,8005,Closed,No,10.0
256911,internet service slow and intermittent,25-04-2015,25-Apr-15,1900-01-01 13:09:19,Customer Care Call,Bartlett,Tennessee,38133,Closed,No,13.0
332159,disney account,06-10-2015,6-Oct-15,1900-01-01 10:09:01,Customer Care Call,Bartlett,Tennessee,38135,Solved,No,10.0
294386,week long issues with speed and no help from disney,18-05-2015,18-May-15,1900-01-01 09:36:31,Internet,Bartonville,Illinois,61607,Solved,No,9.0
327139,data usage cap maine,06-06-2015,6-Jun-15,1900-01-01 20:04:42,Customer Care Call,Bath,Maine,4530,Open,No,20.0
360806,disneys shady business practices,24-06-2015,24-Jun-15,1900-01-01 03:43:45,Internet,Battle Ground,Washington,98604,Open,Yes,3.0
375249,disney cable,30-06-2015,30-Jun-15,1900-01-01 15:47:29,Internet,Beach Haven,New Jersey,8008,Pending,No,15.0
373009,disney pricing,29-06-2015,29-Jun-15,1900-01-01 16:50:06,Internet,Beachwood,New Jersey,8722,Open,No,16.0
229055,disney complaint,04-10-2015,4-Oct-15,1900-01-01 14:35:54,Internet,Beale Afb,California,95903,Closed,No,14.0
365445,cable,25-06-2015,25-Jun-15,1900-01-01 14:25:23,Internet,Beaver Falls,Pennsylvania,15010,Solved,No,14.0
252877,disney charges,23-04-2015,23-Apr-15,1900-01-01 15:20:54,Customer Care Call,Beaverton,Oregon,97005,Open,No,15.0
316088,disney,31-05-2015,31-May-15,1900-01-01 23:02:38,Customer Care Call,Beaverton,Oregon,97006,Pending,No,23.0
297569,internet needed!,19-05-2015,19-May-15,1900-01-01 16:23:00,Internet,Bedford,Indiana,47421,Solved,No,16.0
282375,deceptive practices,05-10-2015,5-Oct-15,1900-01-01 09:54:33,Internet,Bedford,Pennsylvania,15522,Solved,No,9.0
249174,disney fraud,21-04-2015,21-Apr-15,1900-01-01 21:56:13,Internet,Bel Air,Maryland,21014,Closed,No,21.0
327919,complaint cr disney problem - voip phone not working for days,06-08-2015,6-Aug-15,1900-01-01 10:23:24,Internet,Bel Air,Maryland,21014,Solved,No,10.0
238313,disney,15-04-2015,15-Apr-15,1900-01-01 21:40:42,Internet,Belleville,Michigan,48111,Closed,No,21.0
226213,double-billing,04-09-2015,4-Sep-15,1900-01-01 12:15:51,Internet,Bellevue,Washington,98004,Closed,No,12.0
216441,download speeds slower than dial-up but paying for 25 mbps,04-03-2015,4-Mar-15,1900-01-01 13:41:50,Internet,Bellevue,Washington,98006,Closed,No,13.0
364301,disney billing error,25-06-2015,25-Jun-15,1900-01-01 11:33:32,Internet,Bellingham,Washington,98229,Solved,Yes,11.0
